judul,sub_judul,isi,tanggal,jam,kategori
Makan Bergizi Gratis dalam Pusaran Kapitalisme Kroni,Program makan bergizi gratis (MBG) dibayangi oleh praktik kapitalisme kroni. Apa saja masalahnya?,"DI tengah urgensi mengevaluasi efektivitas dan tata kelolamakan bergizi gratis(MBG), pelaksanaan program itu justru dibayangi persoalan lebih fundamental, yakni dugaan praktik kapitalisme kroni (crony capitalism). Temuan investigasi terbaruTempobertajuk ""Bancakan Proyek Makan Bergizi Gratis"" mengungkap keterlibatan keluarga dan orang dekat Prabowo Subianto dalam program ini.",28 April 2025,00.00 WIB,Pendapat
Jawaban Yayasan MBN  soal Penyelewengan Anggaran Makan Bergizi Gratis,Yayasan MBN belum mentransfer uang program Makan Bergizi Gratis kepada rekanan mereka karena ada perbedaan penghitungan anggaran.,"TEMPO.CO,Jakarta- Yayasan Media Berkat Nusantara membantah isu penyelewengan anggaran programMakan Bergizi Gratisdi dapur umum milik Ira Mesra di Kalibata, Jakarta Selatan. Kuasa hukum Yayasan Media Berkat Nusantara, Timoty Ezra Simanjuntak, mengatakan anggaran makan bergizi gratis dari Badan Gizi Nasional sudah masuk ke rekening yayasan dan tidak ada dana yang keluar sama sekali dari rekeningnya.

Pilihan editor:Bagaimana Sertifikat Halal Terbit untuk Jajanan Anak Mengandung Babi

“Bahwa pembayaran sudah diterima, sudah di-keep, tidak dilakukan penyelewengan oleh Yayasan Media Berkat Nusantara,” kata Ezra saat konferensi pers di Kalibata, Jakarta Selatan, Jumat, 25 April 2025.

Ezra mengatakan alasan yayasan belum mentransfer uang makan gratis itu kepada Ira karena ada perbedaan penghitungan anggaran.

Sebelumnya, Ira mendaftarkan laporan ke Polres Metro Jakarta Selatan pada Kamis, 10 April 2025 lalu melalui kuasa hukumnya, Danna Harly Putra. Laporan tersebut dibuat karena dirinya mengaku belum menerima pembayaran sepeser pun sebagai pemilik dapur mitra MBG sejak beroperasi pada Februari 2025.",25 April 2025,18.51 WIB,Pendidikan
Ketahui 6 Bakteri Biang Penyebab Keracunan Makanan,Penyimpanan makanan yang tidak benar dan proses pengolahan yang tidak bersih dapat menyebabkan kontaminasi bakteri penyebab keracunan makanan.,"TEMPO.CO,Jakarta-  Mual, muntah, atau sakit perut setelah makan bisa menjadi tanda bahwa makanan yang dikonsumsi sudah terkontaminasi dan menyebabkankeracunan makanan.

Adapun terdapat sejumlah kebiasaan yang tanpa disadari dapat meningkatkan resiko kontaminasi bakteri pada makanan seperti menyimpan makanan dengan cara yang kurang tepat, menggunakan peralatan masak yang tidak higienis, atau mengolah makanan tanpa memperhatikan kebersihan. Hal-hal ini bisa membuka jalan bagi bakteri berbahaya yang memicu berbagai masalah kesehatan.

Karena itu, dilansir dariAntara,berikut sejumlah bakteri penyebabkeracunan makanandan cara menghindarinya.

1. Bakteri Listeria

Bakteri Listeria bisa ditemukan dalam produk susu yang belum dipasteurisasi, sayuran yang tumbuh di tanah terkontaminasi, daging olahan, serta makanan kaleng yang sudah rusak. Infeksi listeria bisa menyebabkan gejala seperti flu hingga infeksi serius, terutama pada ibu hamil, lansia, dan orang dengan daya tahan tubuh lemah.",25 April 2025,18.49 WIB,Kesehatan
Kemendagri Minta Kepala Daerah Rutin Evaluasi Program MBG,Wakil Menteri Dalam Negeri Bima Arya Sugiarto membuka ruang komunikasi dengan masyarakat dalam mengevaluasi proyek makan bergizi gratis (MBG).,"TEMPO.CO,Jakarta-Wakil Menteri Dalam Negeri Bima Arya Sugiarto mengklaim bahwa hasil evaluasi sementara terhadap pelaksanaan Makan Bergizi Gratis (MBG) cukup baik. Namun, Bima tetap meminta kepala daerah untuk terlibat aktif dan membuka ruang komunikasi dengan masyarakat.

Pilihan editor:Bagaimana Sertifikat Halal Terbit untuk Jajanan Anak Mengandung Babi

“Kepala daerah itu harus turun. Kepala daerah itu harus meminta masukan,” kata Bima saat meninjau pelaksanaan program MBG di Sekolah Dasar Negeri 015 Balikpapan Selatan, Kalimantan Timur (Kaltim), Jumat, 25 April 2025, dikutip dari keterangan tertulis resmi.

Menurut Bima, pelaksanaan MBG harus dievaluasi secara berkelanjutan. Politikus Partai Amanat Nasional itu mengatakan, proses implementasi program andalan Presiden Prabowo Subianto ini tetap harus dikawal secara cermat oleh seluruh kepala daerah.

Bima mengingatkan pentingnya mematuhi standar dan pedoman yang telah ditetapkan oleh Badan Gizi Nasional. Tujuannya untuk mencegah kejadian seperti keracunan makanan.",25 April 2025,18.30 WIB,Politik
BGN Pertimbangkan Dapur Makan Bergizi Gratis Dikelola Kantin Sekolah,"Tujuannya, untuk mempersingkat waktu distribusi dan menjaga kualitas makan bergizi gratis tetap segar saat dikonsumsi.","TEMPO.CO,Jakarta- Badan Gizi Nasional (BGN) membuka opsi desentralisasi pengolahan makanan dalam programMakan Bergizi Gratis(MBG) menyusul kasus keracunan massal di Kabupaten Cianjur. Kepala BGN Dadan Hindayana mengatakan pemberdayaan kantin sekolah dan ibu-ibu kantin bisa menjadi bagian dari solusi jangka panjang.

“Kami akan kombinasikan, terutama untuk sekolah-sekolah yang jumlah muridnya cukup,” kata Dadan kepadaTempo, Jumat, 25 April 2025.

Menurut dia, pendekatan tersebut sebetulnya sudah mulai diterapkan di beberapa sekolah seperti BOSOWA Bina Insani. Dalam model ini, dapur tidak lagi terpusat di Satuan Pelayanan Pemenuhan Gizi (SPPG), tetapi dikelola lebih dekat ke lokasi konsumsi oleh warga sekolah sendiri. Tujuannya, mempersingkat waktu distribusi dan menjaga kualitas makanan tetap segar saat dikonsumsi.

Model dapur desentralistik juga dinilai sejalan dengan saran sejumlah ahli gizi. Selain memperpendek rantai distribusi makanan, dapur sekolah yang dikelola langsung oleh kantin dapat mengantisipasi risiko kontaminasi atau kerusakan makanan akibat penyimpanan lama.

Masukan lain dari para pakar, seperti penyediaan wadah pemanas untuk menjaga suhu makanan setelah dimasak, juga direspons terbuka olehBGN. “Akan kami evaluasi dan sesuaikan dengan kondisi sekolah di lapangan,” ujar Dadan.",25 April 2025,14.58 WIB,Pendidikan
Dua Saran BGN ke Dapur Usai Siswa di Cianjur Keracunan Makan Bergizi Gratis,BGN juga berencana menambah Standard Operating Procedure (SOP) baru bagi SPPG Makan Bergizi Gratis.,"TEMPO.CO,Jakarta- Badan Gizi Nasional (BGN) menyarankan dua hal kepada Satuan Pelayanan Pemenuhan Gizi (SPPG) Cianjur, Jawa Barat, usai puluhan siswa diduga keracunanmakan bergizi gratis(MBG).

Kepala BGNDadan Hindayanamengatakan saran tersebut merupakan hasil dari sejumlah evaluasi yang dilakukan pihaknya pada penyelenggaraan makan bergizi gratis di sekolah tersebut.

Pertama, dia menjelaskan,SPPGharus mengganti alas makan ataufood trayyang biasa digunakan para siswa untuk makan. Dadan menduga keracunan yang dialami puluhan siswa itu disebabkan karena tempat makan yang digunakan terbuat dari plastik.

""Karena setengah darifood trayyang digunakan itu masih plastik, sementara yang keracunan jugafood tray-nya plastik,"" ujar Dadan.

Rekomendasi kedua, BGN meminta penyelenggara makan bergizi gratis di Cianjur untuk memisahkan antara jalur keluar-masuk makanan. ""Kami lihat SOP untuk alur proses antara barang masuk dengan barang keluar. Itu kami minta berbeda,"" kata Dadan.",25 April 2025,09.50 WIB,Pendidikan
Sejumlah Daerah yang Laporkan Kasus Keracunan Makan Bergizi Gratis,Setidaknya empat wilayah telah melaporkan insiden keracunan makan bergizi gratis sejak program ini berjalan awal 2025.,"TEMPO.CO,Jakarta- Kasus dugaan keracunan makanan dalam programMakan Bergizi Gratis(MBG) mencuat di berbagai daerah. Setidaknya empat wilayah telah melaporkan insiden serupa sejak program ini berjalan awal 2025.

Kasus terbaru terjadi di Kabupaten Bombana, Sulawesi Tenggara, tepatnya di SDN 33 Kasipute pada Rabu, 23 April 2025. Belasan murid muntah setelah mencium aroma amis dari paketMBGyang berisi nasi, chicken karaage, tahu goreng, dan sayur sop. Kepala sekolah setempat, Santi Jamal, menyebut aroma tak sedap berasal dari ayam krispi yang sudah tidak layak konsumsi. Kepolisian mengonfirmasi ada 53 dari 1.026 paket makanan yang tidak segar.

Sebelumnya, pada Senin, 21 April 2025, keracunan massal juga dilaporkan di Kabupaten Cianjur, Jawa Barat, melibatkan 78 siswa dari MAN 1 dan SMP PGRI 1. Peristiwa itu menjadi bagian dari Kejadian Luar Biasa (KLB) yang ditetapkan pemerintah daerah, setelah total 176 warga mengalami gejala serupa akibat konsumsi makanan dari acara hajatan warga.

Di Kabupaten Sumba Timur, Nusa Tenggara Timur, 29 siswa SD Katolik Andaluri dilarikan ke fasilitas kesehatan usai menyantap makanan MBG pada 18 Februari 2025. Para siswa dilaporkan mengalami gejala keracunan seperti mual dan muntah.

Insiden serupa juga terjadi di SDN Dukuh 03 Sukoharjo, Jawa Tengah, pada 16 Januari 2025. Sekitar sepuluh murid dari total 200 siswa yang menerima makanan MBG mengalami sakit perut dan mual usai makan. Kepala sekolah Lilik Kurniasih mengatakan kasus tersebut langsung ditangani Puskesmas dan tidak ada siswa yang sampai harus dirawat di rumah sakit.

Menteri Pendidikan Dasar dan Menengah Abdul Mu’ti meminta agar programMakan Bergizi Gratisdapat dievaluasi agar tidak terjadi lagi kasus keracunan yang mengorbankan anak di sekolah. Dia mengatakan hal ini saat merespons kasus siswa keracunan MBG di Cianjur, Jawa Barat.

“Kami mengetahui itu dari media massa. Mudah-mudahan ini bisa menjadi evaluasi dari pihak-pihak terkait,” kataAbdul Mu’tisaat ditemui usai menghadiri Konferensi Pers Survei Penilaian Integritas (SPI) Pendidikan 2024 di Gedung KPK, Jakarta, Kamis, 24 April 2025.",25 April 2025,09.35 WIB,Pendidikan
Kata Mendikdasmen soal Puluhan Siswa di Cianjur Keracunan Makan Bergizi Gratis,Abdul Mu'ti berharap pelaksanaan Makan Bergizi Gratis dapat terus disempurnakan agar bisa terlaksana dengan sebaik-baiknya.,"TEMPO.CO,Jakarta- Menteri Pendidikan Dasar dan Menengah Abdul Mu’ti meminta agar programMakan Bergizi Gratis(MBG) dapat dievaluasi agar tidak terjadi lagi kasus keracunan yang mengorbankan anak di sekolah. Dia mengatakan hal ini merespons kasus siswa keracunan MBG di Cianjur, Jawa Barat.

“Kami mengetahui itu dari media massa. Mudah-mudahan ini bisa menjadi evaluasi dari pihak-pihak terkait,” kataAbdul Mu’tisaat ditemui usai menghadiri Konferensi Pers Survei Penilaian Integritas (SPI) Pendidikan 2024 di Gedung KPK, Jakarta, Kamis, 24 April 2025.

Mu’ti berharap pelaksanaan MBG dapat terus disempurnakan agar bisa terlaksana dengan sebaik-baiknya. Dia juga menyampaikan meski pihaknya mendukung penuh program MBG, namun dia menyampaikan apabila terdapat masalah tetap perlu ada evaluasi. “Tentu, kalau ada masalah itu bagian dari evaluasi kita bersama-sama,” kata dia.

Pemerintah Kabupaten Cianjur, Jawa Barat, menetapkan Kejadian Luar Biasa karena 176 warga, termasuk 78 siswa, keracunan setelah menyantap Makan Bergizi Gratis. Akibatnya sebagian besar dari mereka mendapat perawatan di rumah sakit.

""Warga yang mengalami keracunan selama dua hari terakhir sekitar 176 orang dengan rincian 23 siswa SMP PGRI 1, 55 siswa MAN I Cianjur dan 98 warga Kecamatan Mande,"" kata Kepala Dinkes Cianjur Yusman Faisal di Cianjur, Selasa, 22 April 2025, seperti dikutip Antara.",24 April 2025,14.55 WIB,Pendidikan
"BGN Masih Menunggu Hasil Lab, Usai Puluhan Siswa di Cianjur Diduga Keracunan Makanan MBG",Kepala BGN Dadan Hindayana masih menunggu hasil laboratorium untuk memastikan apakah keracunan puluhan siswa di Cianjur terjadi akibat makanan MBG atau bukan.,"TEMPO.CO,Jakarta- Badan Gizi Nasional (BGN) merespons ihwal puluhan siswa di Kabupaten Cianjur, Jawa Barat, yang didugakeracunanusai menyantap menu Makan Bergizi Gratis (MBG). Kepala BGN Dadan Hindayana belum bisa memastikan apakah keracunan itu terjadi akibat menu makanan yang dibagikan dari program pemerintah tersebut atau bukan.

Dia masih menunggu hasil uji laboratorium yang tengah dilakukan timnya untuk mengetahui penyebab keracunan. “Kami sedang menunggu hasil Lab Kesda Provinsi dari sampel yang sudah dikirimkan. Kami akan update infonya pada kesempatan pertama setelah hasil lab keluar,” ujar Dadan dalam keterangan tertulis, Selasa, 22 April 2025.

Dia mengatakan, sampel MBG yang dimasak pada Senin, 21 April 2025 telah dikirimkan ke Lab Kesda Provinsi setempat. Untuk hasilnya, kata dia, akan keluar dalam rentang waktu sepuluh hari ke depan.

""Menurut keterangan dari perwakilan SPPG, makanan yang diolah juga telah memenuhi standar dan telah melewati proses sebagaimana mestinya,"" kata Dadan.

Dia juga menyampaikan keprihatinannya atas insiden tersebut. Dia berharap agar seluruh siswa segera pulih.",23 April 2025,20.49 WIB,Bisnis
Pengelola SPPG Limbangsari Diperiksa setelah Keracunan MBG di Cianjur,"Polisi memeriksa kepala SPPG, ahli gizi, juru masak, petugas pengepakan, dan kurir pendistribusian makanan MBG ke sekolah-sekolah di Cianjur.","TEMPO.CO,Cianjur- Sepuluh orang pengelola Satuan Pelayanan Pemenuhan Gizi (SPPG) Limbangansari, Kecamatan Cianjur, Kabupaten Cianjur, Jawa Barat, diperiksa petugas Unit Tindak Pidana Tertentu Satuan Reserse Kriminal Kepolisian Resor Cianjur dalam kasus keracunan makanan programMakan Bergizi Gratis(MBG)pada Rabu 23 April 2025. Pengelola yang dipanggil itu di antaranya kepala SPPG, ahli gizi, juru masak, petugas pengepakan, dan kurir pendistribusian makanan ke sekolah-sekolah.

Pilihan editor:Gerhana Matahari dalam Pemerintahan Indonesia

Kepala Satuan Reserse Kriminal Polres Cianjur Ajun Komisaris Tono Listiono mengatakan polisi telah memintai keterangan para pengelola SPPG Limbangansari untuk mendapatkan kejelasan peristiwa keracunan MBG yang menimpa siswa Madrasah Aliyah Negeri 1 Cianjur dan Sekolah Menengah Pertama PGRI 1 Cianjur.

Menurut Tono, selain memeriksa pengelola, pihaknya juga sudah mengumpulkan barang bukti dari dapur SPPG Limbangansari. ""Ada sampel makanan dan alat-alat masak serta berbagai misting plastik. Sampel makanan dan sisa muntahan sudah dikirim ke Laboratorium Kesehatan Daerah Jawa Barat untuk dites,"" ujar Tono di Markas Polres Cianjur, Rabu 23 April 2025.

Tono menyatakan polisi masih melakukan pengembangan untuk memastikan kasus keracunan MBG ini menjadi jelas. Sementara pihak Satreskrim belum menetapkan status orang-orang yang diperiksa. ""Masih dalam proses pemeriksaan dan pendalaman, belum ada penetapan status orang-orang yang diperiksa.",23 April 2025,16.54 WIB,Pendidikan
"Prabowo, Luhut, dan Zulkifli Hasan Menolak Narasi Indonesia Gelap","Siapa saja yang menolak narasi Indonesia Gelap. Apa kata Prabowo, Luhut, dan Zulkifli Hasan.","TEMPO.CO,Jakarta- Beberapa tokoh nasional menyampaikan pendapat mereka secara terbuka terkait munculnya slogan “Indonesia Gelap” yang belakangan ini menjadi simbol kritik terhadap pemerintahan.

Ungkapan tersebut digunakan oleh sejumlah elemen masyarakat sebagai bentuk ekspresi ketidakpuasan terhadap arah kebijakan pemerintah. Namun, sejumlah elite politik dan pejabat publik memberikan respons berbeda dengan menolak label tersebut, menyatakan bahwa kondisi Indonesia tidak seburuk seperti yang digambarkan.

PresidenPrabowoSubianto menyatakan keheranannya terhadap narasi yang menyebut Indonesia tengah berada dalam keadaan gelap. Ia menilai bahwa pandangan semacam itu merupakan opini pribadi yang tidak selalu berdasar pada fakta empiris yang terjadi di lapangan.

“Kalau dia memang merasa gelap, itu hak dia. Tapi kalau saya bangun pagi, saya lihat Indonesia cerah,” kata Prabowo.

Presiden juga mencontohkan pengalaman pribadinya ketika melakukan kunjungan ke berbagai daerah dan berdialog langsung dengan para petani. Menurut Prabowo, para petani menyampaikan kepadanya bahwa mereka merasa puas dengan situasi saat ini karena harga hasil pertanian meningkat dan produktivitas pertanian menunjukkan tren positif.

“Ada orang bilang di sini lapangan kerja kurang. Di mana yang lapangan kerja kurang? Di Amerika juga bermasalah, di mana saja bermasalah,” kata Luhut.

Ia juga menekankan seharusnya publik tidak terlalu berfokus pada kekurangan negara, dan sebaliknya abai dengan kelebihan yang ada.",23 April 2025,16.19 WIB,Politik
Prabowo Klaim Program MBG untuk Ibu Hamil Satu-satunya di Dunia,Prabowo mengklaim sejumlah negara ingin mempelajari pelaksanaan program MBG di Indonesia.,"TEMPO.CO,Jakarta- PresidenPrabowoSubianto mengklaim programMakan Bergizi Gratis(MBG) untuk memberikan makan ibu hamil satu-satunya di dunia. ""Program MBG itu mulai dari ibu hamil mungkin satu-satunya negara di dunia. Di mana ada program ibu hamil, setiap hari makan diantar ke rumahnya,"" kata dia saat memberikan sambutan Program Gerakan Indonesia Menanam di Banyuasin, Sumatera Selatan, Rabu, 23 April 2025.

Pilihan editor:Gerhana Matahari dalam Pemerintahan Indonesia

Kepala Negara mengklaim sejumlah negara ingin mempelajari pelaksanaan program MBG di Indonesia. Namun, Pemerintah Indonesia belum membuka kesempatan mereka untuk belajar MBG. Kepala Negara ingin MBG berjalan selama setahun dahulu.

Dalam pemberian makan ibu hamil itu, Prabowo mengatakan semua potensi sumber daya dikerahkan. Ibu hamil itu diberi pendamping. Bahkan makan bergizi diantar langsung kepada ibu hamil. Meski begitu, Prabowo pun mengatakan tidak memaksa masyarakat menerima program ini.

Prabowo Subianto sebelumnya juga mengklaim sejumlah pemimpin dunia ingin mempelajari pelaksanaan program MBG yang telah sudah dimulai sejak 6 Januari 2025.",23 April 2025,15.15 WIB,Pendidikan
Belasan Siswa SMP PGRI Cianjur Diduga Keracunan Santapan MBG,"Sebelumnya, siswa dari MAN 1 Cianjur juga mengalami keracunan yang diduga berasal dari santapan MBG.","TEMPO.CO,Cianjur- Belasan siswa Sekolah Menengah Pertama PGRI Cianjur dirawat di Rumah Sakit Umum Daerah Sayang Cianjur karena menderitakeracunanyang diduga berasal dari makanan program Makan Bergizi Gratis atauMBG, Selasa, 22 April 2025. Sebelumnya sebanyak 52 siswa Madrasah Aliyah Negeri 1 Cianjur juga menderita keracunan usai menyantap makanan MBG.

Seorang petugas Bintara Pembina Desa mencatat ada 13 siswa SMP PGRI Cianjur yang secara bertahap masuk ke RSUD Sayang Cianjur untuk mendapatkan perawatan. Sementara berdasarkan informasi, menurut bintara TNI yang enggan disebutkan namanya tersebut, beberapa siswa ada yang masih dirawat di puskesmas.

""Ya, menurut informasi ada 13 siswa SMP PGRI Cianjur yang dirawat di RSUD Sayang karena diduga keracunan MBG. Data sementara masih ada yang dirawat di puskesmas,"" ujar bintara tersebut.

Berdasarkan informasi, makanan MBG yang dipasok ke SMP PGRI Cianjur berasal dari Satuan Pelayanan Pemenuhan Gizi (SPPG) Limbangansari, sama dengan yang memasok ke MAN 1 Cianjur.

Pengurus Yayasan Khasanah Ibu Bahagia yang menaungi SPPG Limbangansari, Ridwan Abdullah, membenarkan bahwa MBG untuk SMP PGRI Cianjur dan MAN 1 Cianjur dipasok dari dapur umum yang sama. Menurut Ridwan, saat ini produksi disetop sementara untuk seluruh pasokan ke sekolah-sekolah.",22 April 2025,13.36 WIB,Nusa
Gaji Pekerja MBG Tidak Dipotong untuk BPJS Ketenagakerjaan,Kepala Badan Gizi Nasional Dadan Hindayana memastikan bahwa gaji pekerja di dapur Makan Bergizi Gratis (MBG) tidak dipotong untuk BPJS Ketenagakerjaan,"TEMPO.CO,Jakarta-Kepala Badan Gizi Nasional (BGN)Dadan Hindayanamemastikan bahwa gaji pekerja di dapur Makan Bergizi Gratis (MBG) tidak akan dipotong untuk membayar premi perlindungan jaminan sosial mereka. Sebagaimana diketahui, Badan Penyelenggara Jaminan Sosial (BPJS) Ketenagakerjaan dan BGN telah meneken nota kesepahaman yang memberikan perlindungan jaminan sosial terhadap para relawan di Satuan Pelayanan Pemenuhan Gizi (SPPG) MBG.

""Kami tidak memotong gaji mereka, tapi kami menambahkan, membayar preminya untuk mereka, sehingga semua yang terlibat di dalam program MBG secara sosial terlindungi,"" ujar Dadan di Jakarta Selatan, Senin, 21 April 2025.

Besaran premi yang ditanggung untuk masing-masing pekerja di SPPG adalah Rp 16.800 per bulan. Menurut Dadan, premi tersebut secara nilai tidak terlalu besar, namun manfaatnya sangat besar.

""Rp 16 ribu itu kalau di Jakarta, parkir aja gak cukup, sementara kami bisa lindungi yang bekerja sebulan,"" ujar Dadan.

Dia menjelaskan, seluruh pekerja yang terlibat di dapur MBG harus dilindungi secara sosial ketenagakerjaan. Dadan menyebut bahwa di dalam program MBG, ada biaya operasional yang selain diperuntukkan untuk menggaji pekerja, juga dialokasikan untuk perlindungan bagi pekerja.",22 April 2025,11.34 WIB,Bisnis
BGN Ubah Mekanisme Pendanaan Program Makan Bergizi Gratis,Program Makan Bergizi Gratis yang dijalankan melalui SPPG sebelumnya sempat terkendala karena penggunaan skema reimburse.,"TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional (BGN) Dadan Hindayana menyatakan pemerintah telah menghentikan sistemreimbursedalam pendanaan programMakan Bergizi Gratis(MBG) dan menggantinya dengan skema uang muka. Kebijakan ini, menurut Dadan, mulai berlaku setelah libur Lebaran 2025.

Pilihan editor:PSU Serang: Menang Lagi Setelah Cawe-cawe Menteri

""Sekarang itu seluruh SPPG yang jalan tidak lagi menggunakan uang mitra, tetapi menggunakan uang muka yang kami kirimkan 10 hari kemudian,"" ujar Dadan saat ditemui wartawan usai melakukan penandatanganan kerja sama dengan BPJS Ketenagakerjaan di Plaza BPJamsostek, Jakarta Selatan, Senin, 21 April 2025.

Program MBG yang dijalankan melalui satuan pelayanan pemenuhan gizi (SPPG) sebelumnya sempat terkendala karena penggunaan skemareimburse. Salah satu dampaknya, menurut Dadan, ialah tidak berjalannya pelayanan makan bergizi pada 8 hingga 13 April 2025, meski anak-anak sudah kembali masuk sekolah. “Kami ingin setop dulu mekanisme pembayaranreimburse,” katanya.

Saat ini, Dadan memastikan seluruh dana operasional di lapangan berasal langsung dari BGN, bukan lagi dari dana mitra. Ia bahkan menyatakan, tidak ada lagi SPPG baru yang diizinkan beroperasi tanpa terlebih dulu menerima uang muka.",21 April 2025,20.22 WIB,Pendidikan
Ragam Keluhan Mitra MBG: Menalangi Biaya hingga Jual Barang Pribadi,Sebagian mitra Makan bergizi Gratis mengeluhkan tidak mendapat bayaran atas kerjanya pada program MBG. Berikut beberapa keluhan lain di lapangan.,"TEMPO.CO,Jakarta-Program Makan Bergizi Gratis atauMBGmendapat berbagai keluhan dari mitra. Terbaru, keluhan datang dari mitra dapur di Kalibata yang mengaku belum mendapat bayaran dari yayasan. Berikut rangkuman keluhan mitra MBG sejak program tersebut dimulai.

Mitra MBG di Kalibata Belum Mendapatkan Bayaran

Mitra dapurMakan Bergizi Gratisdi Satuan Pelayanan Pemenuhan Gizi atau SPPG Kalibata, Jakarta Selatan, mengaku belum mendapatkan bayar sepeser pun sejak beroperasi pada Februari 2025. Kuasa Hukum Danna Harly Putra mengatakan kliennya, Ira Mesra, rela menjual berbagai aset untuk modal menjadi mitra dalam program tersebut.

""Menyesalkan tindakan Yayasan MBN yang tidak membayarkan sepeser pun hak dari Ibu Ira selaku mitra dapur Makan Bergizi Gratis di Kalibata,"" kata Harly saat konferensi pers di Kalibata pada Selasa, 15 April 2025.

Harly menyebutkan bahwa total kerugian yang dialami kliennya mencapai Rp975.375.000. Kerugian tersebut dihitung berdasarkan jumlah sekitar 65.025 porsi yang telah dimasak oleh Ira sebagai mitra, yang dikerjakan dalam dua tahap.",21 April 2025,08.03 WIB,Pendidikan
Yayasan Balik Menagih Utang Rp 400 Juta ke Mitra Dapur MBG,Yayasan MBN balik meminta dana sekitar Rp 400 juta dari pemilik dapur mitra MBG di SPPG Kalibata. Ada tunggakan pembayaran Rp 1 miliar.,"TEMPO.CO,Jakarta- Pihak Yayasan berinisial MBN meminta dana sekitar Rp 400 juta dari pemilik dapur mitra programMakan Bergizi Gratis(MBG) di Satuan Pelayanan Pemenuhan Gizi (SPPG) Kalibata, Jakarta Selatan. Padahal menurut pemilik dapur tersebut, Ira Mesra, pihak yayasan masih memiliki utang kepada dirinya hingga hampir Rp 975.375.000.

""Kemarin itu pihak yayasan kontak ke saya, dia mau menagih utang ibunya Rp 420 juta,"" kata kuasa hukum Ira, Danna Harly Putra ketika ditemui di Markas Polres Metro Jakarta Selatan pada Jumat malam, 18 April 2025.

Meskipun begitu, Harly mengungkapkan bahwa pihak Yayasan juga berjanji akan melunasi seluruh sisa pembayaran yang bernilai hampir 1 miliar rupiah tersebut. Janji pembayaran itu disebut akan ditunaikan pada hari Senin, 21 April 2025 nanti.

""Pihak yayasan memberitahu saya bahwa akan menyerahkan bilyet giro untuk pembayaran hak Ira Mesra,"" ujar Harly kepada para wartawan.

Harly menyebutkan, kliennya menduga bahwa ada niat jahat dari salah satu pihak di Yayasan yang ingin menggelapkan dana yang semestinya didapatkan oleh Ira Mesra. Meskipun begitu, Harly tidak merincikan apakah orang tersebut merupakan petinggi yayasan atau bukan.",20 April 2025,16.11 WIB,Kriminal
Polisi Mulai Usut Tunggakan Pembayaran ke Mitra Dapur MBG,Mitra dapur MBG belum mendapat pembayaran hampir Rp 1 miliar. Dilaporkan ke Polres Metro Jakarta Selatan.,"TEMPO.CO,Jakarta- Polres Metro Jakarta Selatan melakukan pemeriksaan terhadap Ira Mesra selaku pemilik dapur mitra programMakan Bergizi Gratis(MBG) di Satuan Pelayanan Pemenuhan Gizi (SPPG) Kalibata, Jakarta Selatan. Pemeriksaan tersebut berkaitan dengan laporan polisi yang telah dibuat oleh Ira sekitar sepekan sebelumnya.

Berdasarkan pantauan Tempo, pemeriksaan tersebut berlangsung sejak pukul 10.00 WIB, Jumat, 18 April 2025. Ira baru keluar sekitar pukul 19.25 WIB dan tidak memberikan banyak pernyataan karena merasa kelelahan.

""Saya sudahkan serahkan bukti-bukti semuanya (kepada penyidik),"" kata Ira Mesra saat ditemui usai pemeriksaan di Markas Polres Metro Jakarta Selatan pada Jumat malam, 18 April 2025.

Ada total 28 pertanyaan yang ditanyakan oleh penyidik kepada Ira terkait kasus tersebut. Sementara kuasa hukumnya, Danna Harly Putra, dicecar 21 pertanyaan oleh penyidik.

""Poin-poin pemeriksaan tadi kurang lebih menanyakan kronologi dan yang paling di-highlight itu mengenai perbedaan perjanjian dengan pelaksanaan di lapangan,"" kata Harly dalam kesempatan yang sama.",20 April 2025,13.35 WIB,Kriminal
Makan Bergizi Gratis buat Handai Tolan,"Keluarga Prabowo dan para kroni menjadi pelaksana proyek makan bergizi gratis. Program populis, sarat KKN.","DALAM hal programmakan bergizi gratis, PresidenPrabowo Subiantotampaknya konsisten menjalankan pepatah yang diucapkannya dalam sebuah pidato pada Maret 2025: anjing menggonggong, kafilah berlalu.",20 April 2025,08.30 WIB,Editorial
"Cara Jepang, Amerika, Swedia Menjalankan Makan Siang Gratis","Program makan siang di negara lain mengandalkan dapur di sekolah. Reportase dari Jepang, Amerika Serikat, dan Swedia.","DI ruang kelas Sekolah Dasar Komayose di Prefektur Kanagawa, sekitar 1 jam 30 menit berkendara dari Tokyo, Jepang, aroma kuah kari menguar dari mangkuk para siswa. Ryuta, salah seorang murid SD Komayose, semringah. Selain kuah berkari, pada talammakan siangdi hadapan Ryuta telah tersaji kudapan favoritnya: kue keju.",20 April 2025,08.30 WIB,Investigasi
