judul,isi,hari,tanggal,jam,kategori,link
"GRIB Jaya Duduki Lahan BMKG, Puan Minta Ormas Kedok Premanisme Dibubarkan!","Ketua DPR RIPuan Maharanimerespons soal ormasGRIB Jayayang sempat menduduki lahan BMKG di Tangerang Selatan. Puan meminta pemerintah agar membubarkan ormas yang mengganggu ketertiban.

""Terkait ormas kami minta pemerintah menindak tegas ormas-ormas yang mengganggu ketertiban. Apalagi kemudian meresahkan masyarakat,"" kata Puan di gedung DPR RI, Jakarta, Minggu (25/5/2025). Puan ditanya responsnya terkait ormas yang menduduki lahan BMKG di Tangsel.

Pemerintah juga diminta mengevaluasi kembali ormas yang berbau premanisme. Jika diketemukan ormas berbau premanisme, Puan meminta agar dibubarkan.

SCROLL TO CONTINUE WITH CONTENT

""Ya kalau memang kemudian itu berbau premanisme ya segera bubarkan, jangan sampai kemudian negara kalah dengan aksi-aksi premanisme. Ya itu jadi segera para penegak hukum melakukan evaluasi terkait dengan hal tersebut,"" ucapnya.

Polisi menangkap 17 orang terkait ormas GRIB Jaya menduduki lahan BMKG ini. Belasan orang itu juga terindikasi melakukan modus pungutan liar (pungli) dengan menguasai lahan tersebut.

""Ya, dalam kegiatan operasi preman ini, setidaknya kami telah mengamankan ada 17 orang, 11 di antaranya adalah oknum dari ormas GJ, kemudian enam di antaranya adalah ahli waris, yang mengaku sebagai ahli waris di tanah ini,"" kata Kabid Humas Polda Metro Jaya Kombes Ade Ary Syam Indradi kepada wartawan seusai operasi di lokasi, Sabtu (24/5).

Dia melanjutkan, proses hukum kasus ini terus berjalan. Sebab Direktorat Reskrim Umum (Ditreskrimum) Polda Metro Jaya telah menerima laporan polisi dari BMKG.

""Laporan terkait dugaan tindak pidana menguasai lahan tanpa hak dugaan tindak pidana penggelapan hak atas barang tidak bergerak, dan dugaan tindak pidana kekerasan secara bersama-sama di muka umum terhadap orang dan barang,"" jelasnya.",Minggu,25 Mei  2025,18:32 WIB,detikNewsBerita,https://news.detik.com/berita/d-7932022/grib-jaya-duduki-lahan-bmkg-puan-minta-ormas-kedok-premanisme-dibubarkan
"Kades Larang Pernikahan Anak SMP-SMK di Lombok Tengah, Tapi Ortu Ngotot","Kepala Desa Beraim, Kecamatan Praya Tengah,Lombok Tengah, NTB, Lalu Atmaja, buka suara terkait pernikahan anak yang viral di media sosial. Ia mengeklaim telah melarang pernikahan tersebut, namun tidak diindahkan oleh pihak keluarga mempelai.

""Jadi upaya kami sudah optimal untuk melarang pernikahan ini,"" kata Atmaja dilansirdetikBali, Minggu (25/5/2025).

Atmaja menjelaskan, pihaknya telah dua kali mencoba mencegah pernikahan antara mempelai pria berinisial SR (17) dan mempelai perempuan SMY (15). Namun, pernikahan tetap berlangsung.

SCROLL TO CONTINUE WITH CONTENT





Tiga minggu sebelum acara nyongkolan yang viral, pasangan ini sempat dinikahkan secara diam-diam. Pemerintah desa melalui kepala dusun telah berupaya memisahkan keduanya.

Namun, SR kembali membawa lari SMY ke Sumbawa selama dua hari. Setelah kembali, keluarga perempuan menolak memisahkan mereka karena khawatir menimbulkan fitnah. Diketahui, SR masih duduk di bangku SMK, sementara SMY masih anak SMP.

Atmaja menyebut, pernikahan berlangsung tanpa sepengetahuan pihak desa. Pihak desa juga telah meminta agar keluarga kedua mempelai tidak menggelar prosesi adat nyongkolan, termasuk larangan menggunakan alat musik. Namun imbauan itu diabaikan.

""Sampai untuk nyongkolan itu, sudah kami kasih tahu, baik kadus pihak laki-laki dan perempuan tidak pakai alat kesenian, tetapi orang tua juga yang ngotot. Jadi upaya kami sudah optimal untuk melerai pernikahan ini,"" tegas Atmaja.

Baca berita selengkapnyadi sini.



Simak Video: Heboh Pernikahan Dini di Lombok Tengah, LPA Lapor Polisi

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,18:28 WIB,detikNewsBerita,https://news.detik.com/berita/d-7932020/kades-larang-pernikahan-anak-smp-smk-di-lombok-tengah-tapi-ortu-ngotot
"Viral Pria Paksa Istri Mengemis, Walkot Jaktim Ungkap Hasil Penelusuran","Viral di media sosial seorang istri mendapat perlakuan kekerasan dari suaminya, AG (37). Korban bahkan dipaksa mengemis oleh AG di wilayah Kelapa Dua Wetan, Ciracas, Jakarta Timur.

Dilansir Antara, Minggu (25/5/2025), dalam video yang beredar juga terlihat beberapa warga memperingatkan AG terkait kelakuannya tersebut. Namun AG hanya duduk sambil menghisap rokok dan menggendong anaknya yang masih bayi.

Sedangkan korban yang mendapatkan tindakan KDRT itu menangis setelah dipisahkan oleh suaminya.

SCROLL TO CONTINUE WITH CONTENT

Merespons kejadian itu, Wali Kota Jakarta Timur Munjirin angkat bicara. Menurutnya, berdasarkan hasil penelusuran pihaknya didapati informasi bahwa AG diduga mengalami gangguan jiwa.

""Petugas berkoordinasi dengan pihak RT dan keluarga didapatkan informasi bahwa Taruna terindikasi memiliki gangguan kejiwaan,"" kata Munjirin saat dihubungi di Jakarta.

Munjirin menyebut Satuan Tugas (Satgas) Pelayanan, Pengawasan dan Pengendalian Sosial (P3S) Posko Pasar Rebo, Ciracas, Jakarta Timur, menindaklanjuti laporan masyarakat melalui Pusat Data dan Teknologi Informasi (Pusdatin) Kelurahan Kelapa Dua Wetan.

Laporan tersebut terkait adanya pengemis dengan indikasi gangguan jiwa yang melakukan aksinya di wilayah Kelapa Dua Wetan.

""Pengemis tersebut kerap membawa istri beserta kedua anaknya yang masih balita dan sering memaksa,"" ujar Munjirin.

Setelah itu, petugas langsung mencari tempat tinggal pengemis berinisial AG dan berkoordinasi dengan pihak terkait.

Lalu, petugas memberikan arahan agar pihak keluarga segera membawa AG berobat. Jika diperlukan pendampingan petugas siap mendampingi.

Munjirin mengatakan, pihak keluarga menyetujui arahan petugas dan petugas langsung mendampingi untuk membawa AG ke Puskesmas terdekat.

""Hasil kordinasi dengan Dinas Sosial DKI Jakarta hari ini akan kita bawa ke Rumah Sakit Khusus Daerah (RSKD) Duren Sawit untuk kontrol karena terinfo dari pihak keluarga yang suaminya ada terindikasi sedikit gangguan kejiwaan,"" katanya.



Lihat juga Video: Pengemis di Ponorogo Raup Rp 400 Ribu Per Hari

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,18:25 WIB,detikNewsBerita,https://news.detik.com/berita/d-7932018/viral-pria-paksa-istri-mengemis-walkot-jaktim-ungkap-hasil-penelusuran
Puan Minta China Dukung Pembukaan Blokade Kemanusiaan di Gaza,"Ketua DPR RIPuan Maharanitelah bertemu dengan Perdana Menteri (PM) China Li Qiang. Keduanya membahas seputar ekonomi global dan masalah blokade bantuan di Gaza,Palestina.

""Dalam pertemuan tadi kami membahas berbagai isu terkait kerjasama bilateral kedua negara seperti bidang politik, ekonomi, sosial, budaya, dan tentu saja termasuk kerja sama antarparlemen dan kami juga membahas situasi politik dan ekonomi global dan regional,"" kata Puan usai pertemuan di gedung DPR RI, Senayan, Jakarta Pusat, Minggu (25/5/2025).

Puan mengatakan turut membahas soal blokade kemanusiaan di Gaza. Pihaknya meminta dukungan kepada Tiongkok untuk membuka jalur tersebut supaya bantuan bagi warga Gaza bisa tersalurkan.

SCROLL TO CONTINUE WITH CONTENT

""Termasuk juga kami membahas terkait dengan bagaimana membuka blokade kemanusiaan yang ada di Gaza, meminta dukungan kepada RRT dan bagaimana agar perang yang ada di wilayah Gaza bisa segera berakhir dengan adanyatwo state solution,"" ucapnya.

Kunjungan itu juga untuk menjalin hubungan diplomatik antar kedua negara yang telah berjalan sekitar 70 tahun. Hubungan antar kedua negara sendiri telah berlangsung sejak China dipimpin Mao Zedong, tokoh pendiri Republik Rakyat China.

""Yang mana pada saat itu Indonesia dan Republik Rakyat Tiongkok bersama-sama ingin membebaskan negara-negara berkembang yang ada di Asia Afrika untuk mendapatkan kemerdekaannya,"" ujar Puan.

""Tadi juga disampaikan bagaimana kemudian masyarakat Indonesia dan rakyat Tiongkok untuk lebih banyak datang ke Indonesia dan masyarakat Indonesia untuk lebih banyak datang ke Tiongkok,"" imbuhnya.



Simak Video: Puan Bertemu PM Li Qiang, Bahas Ekonomi hingga Gaza

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,18:17 WIB,detikNewsBerita,https://news.detik.com/berita/d-7932010/puan-minta-china-dukung-pembukaan-blokade-kemanusiaan-di-gaza
Tembok SMA 103 Jakarta Setinggi 3 Meter Roboh hingga Tutup Jalan Warga,"Tembok SMA 103 Jakarta setinggi tiga meter roboh pada Sabtu sore kemarin. Pihak sekolah memastikan tembok roboh itu kini sedang diperbaiki lagi.

""Sedang diperbaiki oleh pihak sekolah juga. Sangat jauh jarak tembok dengan rumah warga, sekitar 50 meter,"" kata petugas keamanan (sekuriti) SMA 103 Jakarta, Rizqi (38), saat ditemui di Jakarta, dilansir Antara, Minggu (25/5/2025).

Rizqi menyebut aktivitas belajar-mengajar di SMA 103 Jakarta tak terganggu meskipun tembok pembatas antara sekolah dan permukiman warga itu roboh. Dia memastikan tidak ada korban dalam peristiwa itu, baik dari pihak sekolah ataupun warga RT 13/04.

SCROLL TO CONTINUE WITH CONTENT

""Tidak sama sekali terganggu aktivitas belajar karena bukan ruang belajar. Itu tembok pembatas antara sekolah dengan warga dan dekat tembok bukan kelas tapi taman,"" ujar Rizqi.

Rizqi menjelaskan saat tembok roboh, sudah tidak ada aktivitas belajar-mengajar. Menurutnya, kegiatan belajar-mengajar pada Sabtu hanya digunakan untuk ekstrakurikuler hingga pukul 14.00 WIB.

""Ada aktivitas, tapi cuma sampai pukul 14.00 WIB saja. Kejadian tembok roboh sore, setelah pukul 14.00 WIB anak-anak sudah pada pulang,"" ucapnya.

Sementara itu, Ketua RT 013/04 Cakra menduga tembok setinggi tiga meter tersebut roboh karena sudah lapuk. Tembok itu roboh dan menutupi Jalan Nusa Indah VI tepat belakang SMA 103 Jakarta.

""Jadi ini pagar pembatas antara RT 13 dengan SMA 103. Kita duga sudah doyong sudah lama, kebetulan pas mau ada pekerjaan saluran air, ternyata kejadian sekarang (robohnya),"" kata Cakra.

Selain itu, Cakra menyebut dirinya sudah melaporkan kepada pihak sekolah terkait kondisi tembok. Lalu, pihak sekolah juga berniat memperbaiki tembok itu namun sudah terlanjur roboh.

Cakra memastikan tidak ada korban dalam peristiwa itu. Saat ini, upaya perbaikan dan pembersihan puing-puing terus dilakukan menggunakan alat berat.

""Alhamdulillah ini tidak ada korban. Jalan ditutup sementara sama orang proyek saluran dan kami tidak ada ingin warga lewat juga karena ada puing-puing,"" imbuhnya.



Lihat juga Video: Kondisi Gedung DPRD Pesawaran yang Roboh

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,17:58 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931981/tembok-sma-103-jakarta-setinggi-3-meter-roboh-hingga-tutup-jalan-warga
"Kamis 29 Mei 2025 Libur Nasional, Ini Daftar Peringatan Hari Pentingnya","Tanggal 29 Mei 2025ditetapkan sebagaihari libur nasionaldi Indonesia. Tahun ini, tanggal tersebut bertepatan dengan peringatan Hari Raya Kenaikan Yesus Kristus, salah satu hari besar keagamaan yang dirayakan oleh umat Kristen di seluruh dunia.

Selain itu, terdapat pula sejumlah peringatan penting lainnya yang jatuh pada tanggal yang sama. Di antaranya adalah Hari Lanjut Usia Nasional (HLUN) yang diperingati di Indonesia, serta Hari Internasional Penjaga Perdamaian PBB, Hari Gunung Everest, dan Hari Kesehatan Pencernaan Sedunia yang dirayakan secara global.

Berikut serba-serbi dari masing-masing peringatannya:

SCROLL TO CONTINUE WITH CONTENT

Hari Raya Kenaikan Yesus Kristus tahun ini diperingati pada Kamis, 29 Mei 2025, tepat 40 hari setelah Hari Raya Paskah. Tanggal tersebut juga ditetapkan sebagai hari libur nasional berdasarkan Surat Keputusan Bersama (SKB) Tiga Menteri.

Secara internasional, peringatan ini dikenal dengan namaAscension Day. Hari ini memperingati peristiwa kenaikan Yesus Kristus ke surga setelah kebangkitan-Nya, yang merupakan bagian penting dalam kalender liturgi umat Kristen.

Tanggal 29 Mei juga menandai peringatan ke-29 Hari Lanjut Usia Nasional (HLUN). Peringatan ini bertujuan untuk meningkatkan kesadaran masyarakat mengenai pentingnya menjaga kesehatan dan kesejahteraan para lanjut usia (lansia).

Tahun ini, HLUN mengusung tema ""Lansia Terawat, Indonesia Bermartabat,"" dengan subtema bidang kesehatan: ""Merawat Lansia, Merawat Bangsa."" Tema ini menekankan pentingnya peran semua pihak dalam memberikan dukungan menyeluruh bagi lansia, baik dari aspek fisik, mental, maupun sosial.

Setiap 29 Mei, dunia memperingati Hari Internasional Penjaga Perdamaian PBB (International Day of UN Peacekeepers) sebagai bentuk penghormatan kepada personel militer dan sipil yang bertugas dalam misi perdamaian di berbagai wilayah konflik.

Tahun ini, peringatan tersebut mengangkat tema ""The Future of Peacekeeping"" yang menyoroti kontribusi penting para penjaga perdamaian selama hampir delapan dekade. Tema ini juga mencerminkan semangat kolektif untuk membangun dunia yang lebih adil, setara, dan berkelanjutan.

Hari Gunung Everest Internasional (International Mount Everest Day) diperingati setiap 29 Mei untuk mengenang keberhasilan Sir Edmund Hillary dari Selandia Baru dan Tenzing Norgay Sherpa dari Nepal yang berhasil mencapai puncak Gunung Everest pada 1953.

Peringatan ini menginspirasi semangat keberanian dan petualangan dalam menghadapi tantangan. Selain itu, hari ini juga menjadi pengingat pentingnya menjaga kelestarian lingkungan pegunungan.

Hari Kesehatan Pencernaan Sedunia (World Digestive Health Day) juga diperingati setiap 29 Mei. Sejak diinisiasi pada 2004 oleh Organisasi Gastroenterologi Dunia, hari ini bertujuan untuk meningkatkan kesadaran global terhadap pentingnya kesehatan sistem pencernaan.

Kampanye tahun ini menyoroti peran kesehatan pencernaan dalam mendukung vitalitas dan kualitas hidup. Dengan pemahaman yang baik dan pilihan pola makan sehat, setiap orang dapat berkontribusi pada terciptanya budaya hidup sehat dan berdaya tahan secara global.



Tonton juga Video: Siswa SMA Peringati Kenaikan Yesus Kristus di Taman Margasatwa Ragunan

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,17:49 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931966/kamis-29-mei-2025-libur-nasional-ini-daftar-peringatan-hari-pentingnya
Tema dan Logo Peringatan Hari Lahir Pancasila 2025,"Hari Lahir Pancasiladiperingati setiap tanggal 1 Juni. Pada tahun 2025, peringatan ini memasuki tahun ke-80. Dalam rangka memperingati Harlah Pancasila 2025, Badan Pembinaan Ideologi Pancasila (BPIP) telah merilis tema dan logo resminya.

Peringatan Harlah Pancasila setiap 1 Juni berdasarkan Keputusan Presiden (Keppres) Nomor 24 Tahun 2016. Setiap tanggal 1 Juni segenap komponen bangsa dan masyarakat Indonesia berkomitmen untuk memperingati Hari Lahir Pancasila sebagai bentukPancasiladalam dan pengarusutamaan Pancasila dalam seluruh bidang kehidupan bermasyarakat, berbangsa, dan bernegara.

Peringatan Harlah Pancasila yang ke-80 tahun 2025 ini mengusung tema ""Memperkokoh Ideologi Pancasila Menuju Indonesia Raya"". Bersama tema ini, BPIP juga telah merilis logo peringatannya yang disebut ""Burung Niskala Hema"", yakni sebagai berikut:

SCROLL TO CONTINUE WITH CONTENT

Link download Logo Peringatan Harlah Pancasila 2025

Logo peringatan Hari Lahir Pancasila tahun ini merupakan representasi visual yang sarat makna, menggabungkan simbolisme nasionalisme, pendidikan, dan nilai-nilai luhur bangsa Indonesia melalui elemen-elemen berikut:

Link Pedoman Identitas Visual Harlah Pancasila 2025



Tonton juga Video: Amanat Megawati: Pancasila Lahir Tidak Melalui Jalan Mudah

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,17:47 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931955/tema-dan-logo-peringatan-hari-lahir-pancasila-2025
Haedar Nashir Minta Program Anak Nakal Dikirim ke Barak Dikaji Ulang,"Ketua Umum (Ketum) PP Muhammadiyah,Haedar Nashirmengkritik program pengiriman pelajar nakal ke barak militer oleh Gubernur Jawa Barat, Dedi Mulyadi. Haedar meminta program ini dikaji ulang.

Menurut Haedar, program pendidikan barak tidak bersifat artifisial. Menurutnya, jika program ini dibuat untuk mendisiplinkan pelajar bandel, harusnya menggunakan aspek fisik.

""Semestinya dikaji ulang lah. Disiplin itu kan tidak berarti fisik, tapi mentalitas, tapi yang namanya pendidikan itu termasuk perubahan kurikulum, pola yang kita kembangkan itu hasil kajian yang disebut dengan kajian akademik, dan kita harus membiasakan itu,"" kata Haedar saat ditemui di Kasihan, Bantul, dilansirdetikJogja, Minggu (25/5/2025).

SCROLL TO CONTINUE WITH CONTENT





Haedar menuturkan program ini harus dikaji ulang mengacu pada undang-undang dan naskah akademik yang berlaku. Termasuk harus melibatkan stakeholder di bidang akademik.

""Bahkan, segala rancangan undang-undang mestinya didasarkan pada naskah akademik. Naskah akademik itu melibatkan berbagai stakeholder untuk mengkritisi dan memberi masukan secara akademik. Supaya hasil yang terbaik biar pun tidak sempurna,"" lanjutnya.

Maka dari itu, Haedar menyarankan Dedi Mulyadi untuk berkomunikasi dengan Kemendikdasmen untuk mengkaji ulang program ini. Tujuannya agar program yang dibuat sesuai dengan koridor sistem pendidikan.

Baca berita selengkapnyadi sini.



Simak juga Video: Mendikdasmen Belum Kaji Kebijakan Pendidikan di Barak Militer

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,17:42 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931951/haedar-nashir-minta-program-anak-nakal-dikirim-ke-barak-dikaji-ulang
Prabowo Bertolak ke Malaysia Jelang KTT Ke-46 ASEAN,"PresidenPrabowo Subiantobertolak keMalaysiahari ini. Prabowo diagendakan menghadiri Konferensi Tingkat Tinggi (KTT) ke-46 ASEAN di Kuala Lumpur, Malaysia.

Berdasarkan keterangan Biro Pers Istana, Prabowo beserta rombongan terbatas lepas landas dari Pangkalan TNI AU Halim Perdanakusuma, Jakarta, Minggu (25/5/2025), pukul 16.30 WIB. Prabowo dan rombongan bertolak menuju Bandar Udara Tentera Udara Diraja Malaysia Subang.

Keberangkatan Presiden Prabowo menuju Malaysia dilepas oleh Pangdam Jaya Mayjen TNI Rafael Granada Baay, Kapolda Metro Jaya Irjen Karyoto, Pangkoopsud I Marsma TNI Muzafar, serta Danlanud Halim Perdanakusuma Marsma TNI Erwin Sugiandi.

SCROLL TO CONTINUE WITH CONTENT

Pada rangkaian konferensi tersebut, Presiden Prabowo akan menghadiri sejumlah pertemuan. Mulai dari sesiplenary, sesiretreat, hingga sesi pertemuan dengan perwakilan parlemen ASEAN, kepemudaan, dan bisnis. Bersama para pemimpin ASEAN, Presiden Prabowo akan membahas sejumlah isu strategis di kawasan.

""Di Kuala Lumpur, Presiden juga diagendakan menghadiri KTT ke-16 BIMP-EAGA, KTT ke-2 ASEAN-GCC, KTT ASEAN-GCC-China, dan KTT ke-16 IMT-GT. Pertemuan-pertemuan ini diharapkan menjadi salah satu momentum penting dalam upaya memperkuat peran sentral ASEAN di tengah dinamika global,"" kata Deputi Bidang Protokol, Pers, dan Media Sekretariat Presiden Yusuf Permana.

Kehadiran Presiden Prabowo pada rangkaian KTT ke-46 ASEAN menegaskan komitmen Indonesia untuk memperkuat kerja sama dan menjaga stabilitas di kawasan ASEAN. Konferensi ini juga diharapkan mempererat hubungan kerja sama Indonesia dengan negara ASEAN.

Turut mendampingi Presiden Prabowo dalam penerbangan menuju Malaysia yakni Sekretaris Kabinet Teddy Indra Wijaya.",Minggu,25 Mei  2025,17:34 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931929/prabowo-bertolak-ke-malaysia-jelang-ktt-ke-46-asean
"Bos Sritex Tersangka Korupsi Kredit Bank Rp 692 M, Ini Respons Tim Kurator","Komisaris UtamaPT SritexIwan Setiawan Lukmintoditetapkan sebagai tersangka dugaan korupsi pemberian kredit bank senilai Rp 692 miliar. Salah satu tim kurator PT Sri Rejeki Isman Tbk, PT Sinar Pantja Djaja, PT Bitratrex Industries, dan PT Primayudha Mandirijaya, Denny Ardiansyah, turut buka suara.

""Kalau sampai saat ini, (penangkapan Iwan) belum ada efek apa pun. Kita hargai dari pihak Kejaksaan melakukan proses hukum tersebut, tetapi kita tidak mau terlalu dalam ke dalam proses hukumnya, karena itu lain,"" kata Denny, dilansirdetikJateng, Minggu (25/5/2025).

Dugaan tindak pidana yang dilakukan Iwan itu terjadi jauh sebelum Sritex dinyatakan pailit. Beberapa bank yang terlibat telah mengajukan tagihan dan diterima oleh tim kurator sehingga tercatat sebagai kreditur di proses kepailitan ini.

SCROLL TO CONTINUE WITH CONTENT

""Apalagi itu jauh dilakukan di tahun 2022, kita tidak tahu yang dulu seperti apa. Kita mulai menangani sejak Oktober 2024. Apakah sampai merembet ke sini atau tidak, kita belum tahu. Kita lakukan tugas masing-masing, mungkin Kejaksaan untuk me-recoverykerugian negara, kita kurator fungsinya untuk menyelesaikan utang ini,"" ucapnya.

Saat disinggung apakah kasus yang tengah menjerat putra pertama pendiri PT Sritex itu memengaruhi pembayaran pesangon para buruh, Denny mengatakan sampai saat ini belum terpengaruh. ""Belum ada (pengaruhnya). Kita belum bisa berandai-andai. Apa yang ada sekarang, kita masih berjalan apa adanya, kita masih melakukan proses-proses penilaian. Kita harap segera laku terjual,"" imbuh dia.

Sebelumnya, Kejaksaan Agung (Kejagung) telah memeriksa Komisaris Utama PT Sritex, Iwan Setiawan Lukminto, terkait dugaan kasus korupsi pemberian kredit bank. Iwan kini telah ditetapkan sebagai tersangka.

""Penyidik pada Jampidsus Kejaksaan Agung menetapkan tiga orang tersebut sebagai tersangka karena ditemukan alat bukti cukup tindak pidana korupsi dalam pemberian kredit PT Bank Pembangunan Jawa Barat dan Banten dan PT Bank DKI Jakarta kepada PT Sri Rezeki Isman Tbk,"" kata Direktur Penyidikan Jampidsus Abdul Qohar kepada wartawan dalam jumpa pers di Kejagung, Rabu (21/5).

Selain Iwan, Kejagung menetapkan dua orang tersangka lain, yaitu Zainuddin Mappa selaku Direktur Utama Bank DKI tahun 2020 dan Dicky Syahbandinata selaku pimpinan Divisi Komersial dan Korporasi Bank BJB.

Baca berita lengkapnya di sini.



Simak juga Video: Istana soal Bos Sritex Ditangkap Kejagung: Kita Tak Pandang Bulu

[Gambas:Video 20detik]",Minggu,25 Mei  2025,16:54 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931883/bos-sritex-tersangka-korupsi-kredit-bank-rp-692-m-ini-respons-tim-kurator
Puan Maharani Sambut Kedatangan PM China Li Qiang di Gedung DPR RI,"Ketua DPR RIPuan Maharanibertemu dengan Perdana Menteri (PM) China Li Qiang sore ini. Pertemuan ini berlangsung di GedungDPR RI,Jakarta.

Pantauan detikcom di lokasi, Minggu (25/5/2025), Li Qiang tiba sekitar pukul 15.57 WIB. Puan terlihat mengenakan batik berwarna cokelat sedangkan Li Qiang tampak menggunakan setelan jas berwarna hitam.

Li Qiang terlihat menandatangani dokumen pada sebuah meja yang telah disediakan. Kedua tokoh ini pun berjabat tangan.

SCROLL TO CONTINUE WITH CONTENT

Setelahnya, Puan serta Li Qiang beserta jajaran, melakukan foto bersama. Mereka pun berjalan menuju ruang pertemuan di gedung DPR RI. Pertemuan berlangsung tertutup.

Berdasarkan keterangan tertulis, Puan menyebut kehadiran Li Qiang ke Indonesia semakin mengokohkan hubungan kedua negara. Apalagi, katanya, tahun 2025 ini Indonesia dan China merayakan 75 tahun hubungan diplomatik.

""Peringatan ini dapat menjadi momentum untuk semakin memperdalam hubungan Indonesia dan China,"" ujar Puan.

Puan juga menyinggung peringatan 70 tahun Konferensi Asia Afrika (KAA) di Bandung di mana Indonesia-China sudah bekerja sama sejak saat itu untuk memperjuangkan kebebasan berbagai bangsa. Dalam pertemuan bilateral ini, keduanya akan membahas berbagai isu terkait kerja sama bilateral Indonesia-China di bidang politik, ekonomi, sosial budaya, termasuk kerja sama antarparlemen.

""Dasasila Bandung atau 10 prinsip KAA masih relevan dengan dinamika dunia saat ini. Hubungan baik Indonesia-China dapat menjadi fondasi kuat tak hanya bagi kerja sama antar-negara tapi juga kerja sama di tingkat global,"" tutur Puan.

""Ini merupakan bentuk komitmen Indonesia-China untuk mempererat dan meningkatkan hubungan bilateral. Tentunya juga sebagai upaya dalam memperkuat kerja sama, khususnya di berbagai bidang strategis,"" imbuhnya.



Simak juga Video: Prabowo Sambut PM China Li Qiang di Istana Merdeka

[Gambas:Video 20detik]

",Minggu,25 Mei  2025,16:52 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931880/puan-maharani-sambut-kedatangan-pm-china-li-qiang-di-gedung-dpr-ri
Sop Buntut hingga Wingko Babat Jadi Hidangan Makan Siang Prabowo-PM China,"PresidenPrabowo Subiantodan Perdana Menteri (PM) China Li Qiang menikmati jamuan makan siang dalam rangkaian agenda bilateral di Istana Kepresidenan Jakarta. Berbagai hidangan nusantara pun disajikan dalam acara kenegaraan tersebut.

Acara jamuan makan siang itu digelar di Istana Negara, Jakarta, Minggu (25/5/2025). Prabowo dan PM Li duduk dalam satu meja bundar didampingi putra Prabowo, Didit Hediprasetyo, hingga delegasi dua negara.

Acara diawali dengan sambutan hangat dari Presiden Prabowo yang menyampaikan apresiasi atas kunjungan penting tersebut. Ia menegaskan bahwa pertemuan bilateral yang berlangsung sebelumnya telah menghasilkan banyak kesepakatan strategis.

SCROLL TO CONTINUE WITH CONTENT

""Kami optimistis bahwa kerja sama ini akan membawa kebaikan bagi kedua bangsa dan rakyat kita. Tetapi lebih penting, kami yakin ini akan membawa kedamaian di seluruh kawasan Asia Tenggara bahkan Asia-Pasifik,"" ujar Presiden Prabowo.

Seusai sambutan Presiden, Premier Li Qiang kemudian menyampaikan sambutannya. Premier Li menyatakan kebahagiaannya atas kunjungan ke Indonesia di momen peringatan 75 tahun hubungan diplomatik kedua negara.

""Saya juga ingin mengucapkan selamat atas hasil perkembangan pembangunan beberapa tahun ini di Indonesia. Saya juga mengucapkan terima kasih atas penyambutan hangat yang diberikan kepada saya oleh Presiden Prabowo dan pemerintah Indonesia,"" ucap Premier Li.

Dia menekankan bahwa hubungan kedua negara makin erat berkat kepercayaan dan keinginan untuk saling mendukung dalam jalur menuju modernisasi bersama. ""Ke depan, Tiongkok siap berpegang tangan dengan Indonesia mempererat kerja sama bilateral, saling menyukseskan dalam jalur kita menuju modernisasi, bersama menyambut masa depan gemilang bersama,"" tutur Premier Li Qiang.

Rangkaian santap siang resmi pun dimulai. Tersaji hidangan khas Nusantara yang dipadukan dengan cita rasa internasional, mulai Sop Buntut hingga Wingko Babat.

Sambil menikmati hidangan, para tamu dihibur dengan pertunjukan seni budaya yang memukau. Salah satunya adalah Tari Burung Enggang, yang juga dikenal sebagai Tari Enggang.

Ada pula penampilan sejumlah lagu, mulai 'One Moment in Time' dan 'When I Fall in Love', hingga lagu-lagu klasik dan populer dari kedua negara, seperti 'Ni Wen Wo Ai', 'Xing Xing Suo', 'Gemu Fa Mi Re', dan 'Wo He Wo De Zhu Guo'.



Simak Video: Prabowo Sambut PM China Li Qiang di Istana Merdeka

[Gambas:Video 20detik]",Minggu,25 Mei  2025,16:49 WIB,detikNewsBerita,https://news.detik.com/berita/d-7931879/sop-buntut-hingga-wingko-babat-jadi-hidangan-makan-siang-prabowo-pm-china
